filename,count,max,avg,hunks_count
scripts/ObjectBuilder.js,51,40,17,1.0
.gitmodules,7,3,2,1.0
bob,3,2,2,1.0
ci/jenkins/files/testSuiteDeploy.Jenkinsfile,94,39,31,3.0
scripts/ADCApi.js,31,24,16,2.0
scripts/APIEndpoint.js,32,28,16,1.0
scripts/Adc-Json/ves-event-batch-neg.json,65,65,65,1.0
scripts/Adc-Json/ves-event-neg.json,27,27,27,1.0
scripts/Constants.js,11,7,6,1.5
scripts/test_cs_service.js,75,61,38,3.0
dev/Dockerfile,0,0,0,0.0
dev/dashboards/k6-load-testing-results_rev3.json,0,0,0,0.0
dev/docker-compose.yml,7,7,7,1.0
dev/grafana-dashboard.yaml,8,8,8,1.0
dev/grafana-datasource.yaml,9,9,9,1.0
dev/grafana-k6-docker-compose.yml,34,34,34,1.0
scripts/Adc-Json/ves-event-batch.json,65,65,65,1.0
scripts/Adc-Json/ves-event.json,27,27,27,1.0
start-k6.sh,4,4,4,1.0
Dockerfile,6,6,6,1.0
ci/jenkins/rulesets/ruleset2.0.yaml,33,33,33,1.0
ci/jenkins/scripts/copy_report_k6.sh,23,23,23,1.0
ci/jenkins/scripts/deploy_testsuite.sh,5,5,5,1.0
scripts/ObjectBuilder.js,51,40,17,1.0
.gitmodules,7,3,2,1.0
bob,3,2,2,1.0
ci/jenkins/files/testSuiteDeploy.Jenkinsfile,94,39,31,3.0
scripts/ADCApi.js,31,24,16,2.0
scripts/APIEndpoint.js,32,28,16,1.0
scripts/Adc-Json/ves-event-batch-neg.json,65,65,65,1.0
scripts/Adc-Json/ves-event-neg.json,27,27,27,1.0
scripts/Constants.js,11,7,6,1.5
scripts/test_cs_service.js,75,61,38,3.0
dev/Dockerfile,0,0,0,0.0
dev/dashboards/k6-load-testing-results_rev3.json,0,0,0,0.0
dev/docker-compose.yml,7,7,7,1.0
dev/grafana-dashboard.yaml,8,8,8,1.0
dev/grafana-datasource.yaml,9,9,9,1.0
dev/grafana-k6-docker-compose.yml,34,34,34,1.0
scripts/Adc-Json/ves-event-batch.json,65,65,65,1.0
scripts/Adc-Json/ves-event.json,27,27,27,1.0
start-k6.sh,4,4,4,1.0
Dockerfile,6,6,6,1.0
ci/jenkins/rulesets/ruleset2.0.yaml,33,33,33,1.0
ci/jenkins/scripts/copy_report_k6.sh,23,23,23,1.0
ci/jenkins/scripts/deploy_testsuite.sh,5,5,5,1.0
.gitmodules,3,3,3,1.0
Dockerfile,6,6,6,1.0
bob,1,1,1,1.0
ci/jenkins/files/testSuiteDeploy.Jenkinsfile,39,39,39,3.0
ci/jenkins/rulesets/ruleset2.0.yaml,33,33,33,2.0
